semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,,
183,Av. Fernando Simões Barbosa,Rua Jack Aires,BOA VIAGEM,-8.119451,-34.901152,E/Git,Veic.C/Ped.Ocas.,1,
184,Rua Barão de Itamaracá,Rua da Hora,ESPINHEIRO,-8.043834,-34.892819,E/Git,Veicular,1,
185,Av. Gal. San Martin,Rua Próx. Clotilde de Oliveira,CORDEIRO,-8.052688,-34.922385,E,Ocasional/Ped.,1,
186,Av. Beberibe,Rua Coragem,ENCRUZILHADA,-8.036111,-34.891244,E/Git,Veicular,1,
187,Av. Beberibe,Rua da Regeneração,ÁGUA FRIA,-8.018510,-34.893277,E,Veicular,1,
188,Av. Santos Dumont,Rua do Futuro,ROSARINHO,-8.040902,-34.900096,E/Git,Veicular,1,
189,Rua Dom Manuel de Medeiros,Em frente ao LAFEPE,DOIS IRMÃOS,-8.015859,-34.943677,E,Ocasional/Ped.,1,
190,Av. Boa Viagem,Rua Frei Leandro Camelo,BOA VIAGEM,-8.146655,-34.905891,E/Git,Ocasional/Ped.,1,
191,Rua José Bonifácio,Rua Conde de Irajá,TORRE,-8.046004,-34.907050,E/Git,Veicular,1,
192,Rua Real da Torre,Rua D. Manoel da Costa,TORRE,-8.047506,-34.909150,E/Git,Veicular,1,
193,Rua José Bonifácio,Rua Padre Anchieta,TORRE,-8.047199,-34.906653,E/Git,Veicular,1,
194,Av. Martins de Barros,Rua 1º de Março,SANTO ANTÔNIO,-8.064105,-34.876370,E/Git,Veicular,1,
195,Rua Amélia,Rua do Espinheiro,ESPINHEIRO,-8.045830,-34.895350,E/Git,Veicular,1,
196,Av. Alfredo Lisboa,Rua Vital de Oliveira,BAIRRO DO RECIFE,-8.060650,-34.870390,E,Ocasional/Ped.,1,
197,Rua do Sol,Em frente ao Liceu de Artes de PE,SANTO ANTÔNIO,-8.061107,-34.879324,E,Ocasional/Ped.,1,
198,Av. João de Barros,Rua Leopoldo Lins ,SANTO AMARO,-8.049710,-34.890010,E,Veicular,1,
199,Rua de São João,Rua do Forte,SÃO JOSÉ,-8.071082,-34.880603,E,Ocasional/Ped.,1,
200,Av. Domingos Ferreira,Rua Thomé Gibson,BOA VIAGEM,-8.098758,-34.886600,E/Git,Veicular,1,
201,Estrada de Belém,Rua Antônio Rangel,CAMPO GRANDE,-8.035682,-34.888540,E,Veicular,1,
202,Av. Cruz Cabugá,Rua Dna. Maria de Souza,SANTO AMARO,-8.040833,-34.872134,E/Git,Veic.C/Ped.Ocas.,1,
203,Av. Nossa Senhora do Carmo,Rua do Imperador,SANTO ANTÔNIO,-8.066141,-34.876680,E/Git,Veic.C/Ped.Ocas.,1,
204,Av. Nossa Senhora do Carmo,Av. Martins de Barros,SANTO ANTÔNIO,-8.066107,-34.876245,E/Git,Veicular,1,
205,Av. Sul(Pista principal),Antes do Viaduto Joana Bezerra,AFOGADOS,-8.076770,-34.894820,E/Git,Ocasional/Ped.,1,
206,Rua do Imperador,Rua Siqueira Campos,SANTO ANTÔNIO,-8.062875,-34.876975,E/Git,Veicular,1,
207,Rua Imperial ,Rua do Peixoto,SÃO JOSÉ,-8.071997,-34.882352,E/Git,Veicular,1,
208,Av. Dr. José Rufino,Rua Itaenga,TEJIPIÓ,-8.090837,-34.951214,E,Veic.C/Ped.Ocas.,1,
209,Rua Dr. José Mariano,Rua Velha,SANTO ANTÔNIO,-8.064781,-34.885037,E,Veicular,1,
210,Rua da Aurora,Rua da Imperatriz,SANTO ANTÔNIO,-8.063454,-34.882531,E/Git,Pedestre,1,
211,Av. Sul(corredor de ônibus),Antes do Viaduto Joana Bezerra,AFOGADOS,-8.076928,-34.894710,E/Git,Ocasional/Ped.,1,
212,Av. Recife,Av. Presidente Kennedy,AREIAS,-8.103319,-34.927649,E/Git,Veic.C/Ped.Ocas.,1,
213,Av. Dr. José Rufino,Rua Domingos Teotônio,BARRO,-8.092925,-34.941609,E,Ocasional/Ped.,1,
214,Av. Conselheiro Rosa e Silva,Av. Dr. Malaquias,ROSARINHO,-8.038142,-34.900583,E/Git,Veicular,1,
215,Rua do Futuro,Av. Dr. Malaquias,ROSARINHO,-8.038757,-34.901782,E/Git,Veicular,1,
216,Av. Domingos Ferreira,Rua Padre Carapuceiro,BOA VIAGEM,-8.119076,-34.897531,E/Git,Veicular,1,
217,Av. Domingos Ferreira,Rua Ernesto de Paula Santos,BOA VIAGEM,-8.124700,-34.900211,E/Git,Veicular,1,
218,Av. Mascarenhas de Morais,Rua Barão de Souza Leão,IMBIRIBEIRA,-8.132591,-34.916230,E,Ocasional/Ped.,1,
219,Rua Odete Monteiro,Em frente a Escola Munic. Darcy Ribeiro,CORDEIRO,-8.045980,-34.920842,E,Ocasional/Ped.,1,
